suite,episode_index,decision_index,hard_feasible_case,large_gap_hard_feasible_case,gap_bucket,slack_band,packet_band,load_band,depth_band,hard_condition_count,oracle_action_gap,oracle_action_gap_ratio,target_match,strictly_suboptimal,base_predicted_next_hop,base_target_match,candidate_predicted_next_hop,candidate_target_match,action_agreement,hard_near_tie_case
a1_multiheavy_ood_branching3_round7_eval,0,0,False,False,near_tie,tight,3,mid_load,3,0,0.0,0.0,True,False,133,True,133,True,True,False
a1_multiheavy_ood_branching3_round7_eval,0,1,False,False,near_tie,loose,3,mid_load,3,0,0.0,0.0,True,False,128,True,128,True,True,False
a1_multiheavy_ood_branching3_round7_eval,0,2,False,False,large_gap,loose,3,mid_load,3,0,8.950267791748047,0.4661627723887658,True,False,125,True,125,True,True,False
a1_multiheavy_ood_branching3_round7_eval,0,3,False,False,near_tie,loose,3,mid_load,3,0,1.4204835891723633,0.0917645719387581,True,False,1,True,1,True,True,False
a1_multiheavy_ood_branching3_round7_eval,0,4,False,False,large_gap,loose,3,mid_load,3,0,6.764570236206055,0.6235831464004982,True,False,84,True,84,True,True,False
a1_multiheavy_ood_branching3_round7_eval,0,5,False,False,medium_gap,loose,3,mid_load,3,0,3.9605865478515625,0.5531104284093435,True,False,88,True,88,True,True,False
a1_multiheavy_ood_branching3_round7_eval,0,6,False,False,medium_gap,loose,3,mid_load,3,0,5.392454624176025,1.1191358243994989,True,False,96,True,96,True,True,False
a1_multiheavy_ood_branching3_round7_eval,0,7,False,False,medium_gap,loose,3,mid_load,3,0,5.1395814418792725,2.2111821139023635,True,False,119,True,119,True,True,False
a1_multiheavy_ood_branching3_round7_eval,0,8,False,False,near_tie,very_tight,3,mid_load,3,1,0.0,0.0,True,False,55,True,55,True,True,False
a1_multiheavy_ood_branching3_round7_eval,0,9,False,False,near_tie,moderate,3,mid_load,3,0,0.0,0.0,True,False,47,True,47,True,True,False
a1_multiheavy_ood_branching3_round7_eval,0,10,False,False,large_gap,loose,3,mid_load,3,0,7.526456832885742,0.3841293896488942,True,False,43,True,43,True,True,False
a1_multiheavy_ood_branching3_round7_eval,0,11,False,False,medium_gap,loose,3,mid_load,3,0,4.4510345458984375,0.2580951411899506,True,False,1,True,1,True,True,False
a1_multiheavy_ood_branching3_round7_eval,0,12,False,False,large_gap,loose,3,mid_load,3,0,6.851041793823242,0.5518578301050766,True,False,84,True,84,True,True,False
a1_multiheavy_ood_branching3_round7_eval,0,13,False,False,medium_gap,loose,3,mid_load,3,0,4.180724143981934,0.5287424072853877,True,False,88,True,88,True,True,False
a1_multiheavy_ood_branching3_round7_eval,0,14,False,False,medium_gap,loose,3,mid_load,3,0,5.561682224273682,1.155544505733639,True,False,95,True,95,True,True,False
a1_multiheavy_ood_branching3_round7_eval,0,15,False,False,medium_gap,loose,3,mid_load,3,0,4.348449468612671,2.121889349426544,True,False,117,True,117,True,True,False
a1_multiheavy_ood_branching3_round7_eval,0,16,False,False,near_tie,tight,3,mid_load,3,0,0.0,0.0,True,False,11,True,11,True,True,False
a1_multiheavy_ood_branching3_round7_eval,0,17,False,False,near_tie,moderate,3,mid_load,3,0,0.0,0.0,True,False,5,True,5,True,True,False
a1_multiheavy_ood_branching3_round7_eval,0,18,False,False,medium_gap,loose,3,mid_load,3,0,6.177047729492188,0.3068592481922267,True,False,2,True,2,True,True,False
a1_multiheavy_ood_branching3_round7_eval,0,19,False,False,near_tie,loose,3,mid_load,3,0,2.735931396484375,0.1545592642612841,True,False,1,True,1,True,True,False
a1_multiheavy_ood_branching3_round7_eval,0,20,False,False,medium_gap,loose,3,mid_load,3,0,5.482991218566895,0.4198806538833352,True,False,43,True,43,True,True,False
a1_multiheavy_ood_branching3_round7_eval,0,21,False,False,medium_gap,loose,3,mid_load,3,0,4.214494705200195,0.5435651712822327,True,False,47,True,47,True,True,False
a1_multiheavy_ood_branching3_round7_eval,0,22,False,False,medium_gap,loose,3,mid_load,3,0,6.344187736511231,1.303770851453884,True,False,54,True,54,True,True,False
a1_multiheavy_ood_branching3_round7_eval,0,23,False,False,medium_gap,loose,3,mid_load,3,0,4.503024339675903,2.1301912339498768,True,False,77,True,77,True,True,False
a1_multiheavy_ood_deeper_packets6_round7_eval,0,0,True,False,near_tie,very_tight,1,high_load,4,3,0.0,0.0,True,False,15,True,15,True,True,True
